target_atr,stop_atr,hold,rr,setup,n,win_rate,r_mean,r_ci_lo,r_ci_hi,edge_vs_control
2.0,1.0,10,2.0,tight_flag,214638,0.3017871951844501,0.016023142819790698,-0.026145941137501225,0.06221110511354962,-0.01858155516279967
2.0,1.0,10,2.0,oversold_bounce,14270,0.2995094604064471,0.11057175763950954,0.03479870419484132,0.19653473408894703,0.07596705965691916
2.0,1.0,10,2.0,high_52w_momo,102108,0.26390684373408546,-0.056186359092192384,-0.08824263893276045,-0.022084108293698806,-0.09079105707478274
2.0,1.0,10,2.0,any_liquid,112903,0.27946113035083214,0.03460469798259037,-0.0007799499379687369,0.06883669594410717,0.0
2.0,1.0,20,2.0,breakout_20d,16238,0.31697253356324673,-0.059084628376591,-0.10279166348041388,-0.013898794491533363,-0.1055972352495239
2.0,1.0,20,2.0,pullback_uptrend,161215,0.3530502744781813,0.05054915199722032,0.003673967019370401,0.09793794284861004,0.004036545124287423
2.0,1.0,20,2.0,tight_flag,214638,0.3513264193665614,0.02266851502250357,-0.021355264576948214,0.07214877331192172,-0.02384409185042933
2.0,1.0,20,2.0,oversold_bounce,14270,0.37098808689558516,0.12614740622855172,0.046633053801454716,0.21676438848570462,0.07963479935561882
2.0,1.0,20,2.0,high_52w_momo,102108,0.3213754064324049,-0.04806488469998393,-0.0838237939499634,-0.009866238107848542,-0.09457749157291682
2.0,1.0,20,2.0,any_liquid,112903,0.3462175495779563,0.0465126068729329,0.006979508790659111,0.0839574156892069,0.0
2.0,1.5,5,1.3333333333333333,breakout_20d,16238,0.18105678039167386,-0.04028934542891473,-0.06795787616810978,-0.012218623557456242,-0.05795985269280356
2.0,1.5,5,1.3333333333333333,pullback_uptrend,161215,0.1773408181620817,0.026056692038906794,-0.0020038744133685357,0.054592865970347765,0.008386184775017968
2.0,1.5,5,1.3333333333333333,tight_flag,214638,0.19890699689710117,0.012522322048813858,-0.015153405131066566,0.04154187534488615,-0.005148185215074968
2.0,1.5,5,1.3333333333333333,oversold_bounce,14270,0.19327259985984582,0.08360627560687567,0.0346660817394319,0.13875016071727014,0.06593576834298684
2.0,1.5,5,1.3333333333333333,high_52w_momo,102108,0.1776648254789047,-0.036057498034158586,-0.057586156386412485,-0.013610749720554899,-0.053728005298047415
2.0,1.5,5,1.3333333333333333,any_liquid,112903,0.16913633827267655,0.017670507263888826,-0.003347101370171706,0.038320862888567064,0.0
2.0,1.5,10,1.3333333333333333,breakout_20d,16238,0.30286981155314696,-0.033806957209020064,-0.06964505269859624,0.002659961746504836,-0.07268231078648343
2.0,1.5,10,1.3333333333333333,pullback_uptrend,161215,0.33147039667524736,0.04154877672682387,0.0034868283136139443,0.07914936750441659,0.0026734231493604974
2.0,1.5,10,1.3333333333333333,tight_flag,214638,0.3521836767021683,0.029056372506541795,-0.008345354981726437,0.07020937683969693,-0.009818981070921575
2.0,1.5,10,1.3333333333333333,oversold_bounce,14270,0.3414856341976174,0.10496577032658042,0.04075667720948776,0.1737625579939967,0.06609041674911705
2.0,1.5,10,1.3333333333333333,high_52w_momo,102108,0.30761546597720063,-0.02231297496049286,-0.05038196740054628,0.007178819616760752,-0.061188328537956235
2.0,1.5,10,1.3333333333333333,any_liquid,112903,0.3181492077269869,0.03887535357746337,0.009305244742039665,0.06885598694127451,0.0
2.0,1.5,20,1.3333333333333333,breakout_20d,16238,0.39635423081660304,-0.028270405850544994,-0.0665353776668202,0.011926650685283136,-0.08495207657728662
2.0,1.5,20,1.3333333333333333,pullback_uptrend,161215,0.434934714511677,0.05610665836620494,0.012921604723607979,0.09807851983921968,-0.0005750123605366836
2.0,1.5,20,1.3333333333333333,tight_flag,214638,0.43997335047848,0.040325574247284855,-0.0018312922542755626,0.08740448747370236,-0.016356096479456766
2.0,1.5,20,1.3333333333333333,oversold_bounce,14270,0.4514365802382621,0.12733678149212843,0.05831516593447345,0.203347859312651,0.0706551107653868
2.0,1.5,20,1.3333333333333333,high_52w_momo,102108,0.4057272691659811,-0.009999202731048797,-0.043091494789710874,0.025133615292507606,-0.06668087345779042
2.0,1.5,20,1.3333333333333333,any_liquid,112903,0.4261268522537045,0.05668167072674162,0.020825703209885513,0.09151007471672849,0.0
3.0,0.75,5,4.0,breakout_20d,16238,0.05517920926222441,-0.0901137160455236,-0.13258236329584072,-0.04802301215675699,-0.09670956037323751
3.0,0.75,5,4.0,pullback_uptrend,161215,0.05024966659429954,0.029902287433210693,-0.012722504369743834,0.07516522831156798,0.023306443105496774
3.0,0.75,5,4.0,tight_flag,214638,0.06095845097326662,0.0010151177740728374,-0.03935025455310699,0.04538584722841808,-0.005580726553641082
3.0,0.75,5,4.0,oversold_bounce,14270,0.048773651016117726,0.09205192676788178,0.010148632643988199,0.18559577314464717,0.08545608244016786
3.0,0.75,5,4.0,high_52w_momo,102108,0.052610960943314924,-0.0958772037968987,-0.12720682423061616,-0.06313953696241512,-0.10247304812461261
3.0,0.75,5,4.0,any_liquid,112903,0.04700495115275945,0.006595844327713919,-0.026626040698053025,0.03819554563412363,0.0
3.0,0.75,10,4.0,breakout_20d,16238,0.11707106786550067,-0.08326781963810652,-0.1377262905124348,-0.024876847435610056,-0.11498017035852326
3.0,0.75,10,4.0,pullback_uptrend,161215,0.12906367273516733,0.04809537251455052,-0.007075482849883413,0.10542497724350769,0.016383021794133777
3.0,0.75,10,4.0,tight_flag,214638,0.1415080274695068,0.01461315241028418,-0.04018764879922453,0.07512734641447982,-0.01709919831013256
