exit,setup,n,R,edge,lo,hi,months_pos,hold,clears
bracket_4.0R_30d,connors_rsi2_strict,35217,0.13064071571834915,0.19296876710609895,0.1224012854158433,0.2638194502262219,0.6346153846153846,9.526450293892154,True
bracket_4.0R_30d,cum_rsi,126979,0.17119436267389887,0.15124142009215288,0.10007768314925318,0.19975710829357607,0.6807692307692308,9.644823159735074,True
bracket_4.0R_30d,ibs_low,241491,0.1443422494483977,0.02630311167433689,-0.007940635961607467,0.06024567366149793,0.5961538461538461,9.666368518909607,False
bracket_4.0R_30d,bb_lower,103516,0.18927308502591916,0.18689834115687237,0.12845467982400732,0.242827479105368,0.6833976833976834,9.62370068395224,True
bracket_4.0R_30d,idio_drop,88315,0.07266067339884377,-0.06694463225970633,-0.11505051433400573,-0.01797561768478558,0.4015444015444015,9.942037026552681,False
bracket_4.0R_30d,market_drop,38797,0.27279699138346963,0.4238068395021658,0.32630743828071423,0.5192817596966802,0.6943231441048034,9.225867979482949,True
bracket_4.0R_30d,down_5days,136586,0.16725582824078863,0.17939415322374455,0.12960540349107466,0.22835491002737743,0.7153846153846154,9.637437219041484,True
trail_3atr_20d,connors_rsi2,102110,0.1502220514613223,0.17829928593908578,0.12348422050313117,0.22852802432482844,0.6846153846153846,9.145676231515033,True
trail_3atr_20d,pullback_3day,118328,0.16034851636372005,0.11462367478163231,0.06731911528534451,0.16042227535114634,0.65,9.255315732540058,True
trail_3atr_20d,rs_pullback_50ma,19142,0.15721043686477448,0.1286227436895908,0.06748317104100039,0.1909738205033241,0.5758754863813229,9.169992686239683,True
trail_3atr_20d,connors_rsi2_strict,35217,0.10863182304486897,0.22551843859922033,0.1330370418446962,0.34059459554938415,0.6576923076923077,9.047278303092257,True
trail_3atr_20d,cum_rsi,126979,0.15209229709771685,0.15669603803491633,0.10419529598881216,0.20625372475065964,0.6807692307692308,9.264232668393987,True
trail_3atr_20d,ibs_low,241491,0.11458387158403131,0.023901023741683895,-0.009809795227549762,0.0566308302310484,0.5846153846153846,9.1979079965713,False
trail_3atr_20d,bb_lower,103516,0.17934082711359353,0.20005969263484147,0.14140508401574448,0.2574753801444336,0.6756756756756757,9.216169481046409,True
trail_3atr_20d,idio_drop,88315,0.05072141221869081,-0.06373963452827182,-0.11060822074647282,-0.015315883539229577,0.4247104247104247,9.281571646945592,False
trail_3atr_20d,market_drop,38797,0.24578571475239802,0.4248876835149324,0.33064726222348584,0.5209891359903501,0.7248908296943232,9.103590483800295,True
trail_3atr_20d,down_5days,136586,0.14873018136510657,0.18611593122462045,0.13587240092371486,0.23512855997837437,0.7038461538461539,9.222211646874497,True
